id,MW,cLogP,HBD,HBA,RotB,charge
CHEMBL311109,482.6130000000002,5.2805000000000035,3,6,6,0
CHEMBL312482,440.5720000000003,6.020400000000005,2,5,5,0
CHEMBL79215,465.5860000000001,6.099500000000004,3,7,8,0
CHEMBL431977,481.6250000000002,5.885500000000004,3,5,6,0
CHEMBL81712,370.43700000000007,5.1472000000000016,2,5,4,0
CHEMBL310853,347.4680000000001,6.2497000000000025,2,4,3,0
CHEMBL80302,356.45400000000006,5.891620000000002,2,4,3,0
CHEMBL310827,356.45400000000006,5.891620000000003,2,4,3,0
CHEMBL77782,413.55000000000007,5.687300000000004,2,5,6,0
CHEMBL306732,346.459,5.167900000000003,1,5,4,0
CHEMBL418909,455.5870000000001,5.4139000000000035,4,5,8,0
CHEMBL77452,428.5610000000001,5.660200000000003,4,5,8,0
CHEMBL161956,374.2420000000001,2.9594000000000005,2,6,5,0
CHEMBL351629,388.225,3.051700000000001,2,6,5,0
CHEMBL165731,364.45300000000026,2.820920000000001,2,7,6,0
CHEMBL166255,417.31100000000004,2.8669000000000002,3,7,8,0
CHEMBL165630,447.3370000000001,2.229399999999999,4,8,10,0
CHEMBL165495,251.29300000000003,2.65902,2,5,2,0
CHEMBL163369,461.3640000000001,2.6194999999999995,4,8,11,0
CHEMBL166307,471.40700000000015,3.084900000000001,3,8,8,0
CHEMBL162223,421.3020000000002,4.580500000000002,2,6,6,0
CHEMBL162719,399.29600000000016,3.282700000000002,1,6,3,0
CHEMBL162821,265.32,3.118520000000001,2,5,3,0
CHEMBL162053,401.31200000000007,3.5287000000000015,1,6,6,0
CHEMBL165574,443.3490000000004,3.6651000000000016,2,7,7,0
CHEMBL53940,251.29300000000003,2.8101000000000003,2,5,3,0
CHEMBL165788,319.29,3.8289000000000017,2,5,3,0
CHEMBL166093,390.2410000000001,2.2959999999999994,4,7,6,0
CHEMBL349070,415.33900000000006,4.284600000000003,2,6,8,0
CHEMBL162142,410.27900000000017,3.9086,3,6,6,0
CHEMBL165508,407.27500000000015,4.538000000000001,2,6,5,0
CHEMBL165547,404.26800000000003,2.3202999999999996,3,7,6,0
CHEMBL165864,360.21500000000003,2.9351000000000003,3,6,5,0
CHEMBL161895,345.41,3.4545200000000014,3,6,6,0
CHEMBL433520,445.36500000000007,3.645500000000001,3,7,9,0
CHEMBL355816,374.19800000000004,3.027400000000001,3,6,5,0
CHEMBL166154,285.73800000000006,3.4635000000000007,2,5,3,0
CHEMBL163188,279.34700000000004,3.1428200000000013,1,5,3,0
CHEMBL163168,388.2250000000001,3.4175000000000013,3,6,6,0
CHEMBL162508,378.48000000000025,3.2110200000000013,2,7,7,0
CHEMBL166358,401.31200000000007,3.8945000000000016,2,6,7,0
CHEMBL162981,424.3060000000002,4.229600000000001,2,7,7,0
CHEMBL51853,316.16200000000003,3.113100000000001,2,5,2,0
CHEMBL162034,387.2850000000001,3.5044000000000004,2,6,6,0
CHEMBL162622,429.32200000000034,3.2750000000000012,2,7,6,0
CHEMBL449093,365.3190000000001,2.1055000000000006,2,7,6,0
CHEMBL286343,493.36500000000024,4.926000000000004,2,7,9,0
CHEMBL27685,530.3980000000003,4.500600000000004,2,7,9,0
CHEMBL31630,500.96200000000044,3.810800000000002,1,8,9,0
CHEMBL27688,447.5390000000004,3.907420000000003,2,7,9,0
CHEMBL31373,342.761,4.290400000000002,2,4,4,0
CHEMBL31816,373.7750000000001,3.6940000000000017,2,6,5,0
CHEMBL417478,482.94700000000034,4.420900000000004,2,7,8,0
CHEMBL32844,525.4510000000004,4.2767000000000035,2,7,9,0
CHEMBL31588,484.3980000000003,4.981000000000004,2,6,10,0
CHEMBL31656,486.9350000000004,3.786500000000002,2,8,9,0
CHEMBL31419,512.4080000000004,4.361500000000004,2,7,9,0
CHEMBL31326,514.4930000000003,6.084400000000005,2,6,11,0
CHEMBL31815,304.35300000000007,3.8063200000000013,2,4,4,0
CHEMBL280757,387.21200000000005,4.399500000000002,2,4,4,0
CHEMBL28418,343.749,3.6854000000000013,2,5,4,0
CHEMBL281543,484.9630000000004,4.340300000000003,2,7,9,0
CHEMBL284326,499.9780000000004,3.7017000000000015,2,8,9,0
CHEMBL32079,474.92000000000036,4.458300000000004,3,7,12,0
CHEMBL31622,460.5820000000004,3.8226200000000023,2,7,9,0
CHEMBL31570,417.8280000000002,3.710600000000002,2,7,8,0
CHEMBL283201,426.3180000000001,4.322000000000003,2,5,6,0
CHEMBL31369,456.34400000000016,4.200800000000003,2,6,8,0
CHEMBL53690,358.32300000000004,4.516700000000002,2,4,4,0
CHEMBL297968,304.353,3.8063200000000013,2,4,4,0
CHEMBL126192,392.48400000000015,5.294300000000003,1,7,7,0
