id,MW,cLogP,HBD,HBA,RotB,charge
ZINCf50000008AzF,210.2769999999999,-0.15339999999999998,1,3,4,0
ZINCf50000008AzT,208.26099999999994,-0.00570000000000026,1,2,3,0
ZINCf50000008AzW,210.27699999999996,-0.1549999999999998,1,3,3,0
ZINCf50000008AzX,210.27699999999993,-0.15339999999999998,1,3,4,0
ZINCf50000008AzY,208.26099999999997,-0.10190000000000055,2,2,3,0
ZINCf50000008AA1,209.24499999999995,-0.2127000000000001,1,3,3,0
ZINCf50000008AA3,209.24499999999995,-0.2127000000000001,1,3,3,0
ZINCf50000008AA9,233.26399999999995,-0.34729999999999994,1,3,3,0
ZINCf50000008AAa,210.2769999999999,-0.15339999999999998,1,3,4,0
ZINCf50000008AAr,208.26099999999997,-0.10190000000000055,2,2,3,0
ZINCf50000008AAz,233.26399999999995,-0.34729999999999994,1,3,3,0
ZINCf50000008AAB,205.21699999999998,0.24372,2,4,3,0
ZINCf50000008AAO,208.22099999999995,-0.9765000000000004,2,5,5,0
ZINCf50000008AAU,231.31699999999995,-0.4610000000000001,2,4,4,0
ZINCf50000008AB4,210.27699999999993,-0.41740000000000066,2,3,6,0
ZINCf50000008ABc,233.28899999999993,-0.11770000000000014,1,4,7,0
ZINCf50000008ABI,228.277,-0.40040000000000053,1,5,5,0
ZINCf50000008ABJ,228.277,-0.40040000000000053,1,5,5,0
ZINCf50000008AC8,213.23299999999998,-0.16060000000000008,1,4,4,0
ZINCf50000008ACg,210.23299999999998,-0.0797000000000001,0,3,2,0
ZINCf50000008ACh,210.23299999999998,-0.03180000000000027,1,3,2,0
ZINCf50000008ACi,210.233,-0.033400000000000096,1,3,2,0
ZINCf50000008ACj,210.233,-0.033400000000000096,1,3,2,0
ZINCf50000008ACu,211.217,-0.4098000000000001,1,4,2,0
ZINCf50000008ACD,214.22099999999998,-0.19640000000000013,2,4,6,0
ZINCf50000008ACF,215.24899999999997,-0.2732,3,4,6,0
ZINCf50000008ACG,213.23299999999995,-0.2552000000000001,2,4,5,0
ZINCf50000008ACK,234.277,-0.714899999999999,2,4,6,0
ZINCf50000008AD9,213.23299999999998,-0.37990000000000046,3,4,3,0
ZINCf50000008ADv,208.21699999999996,-0.09610000000000007,0,5,3,0
ZINCf50000008ADw,209.24899999999994,0.13057000000000007,2,3,5,0
ZINCf50000008ADE,230.33299999999994,-0.16709999999999936,0,3,5,0
ZINCf50000008ADH,233.28899999999993,-0.1656000000000002,0,4,6,0
ZINCf50000008ADI,229.30099999999993,-0.07889999999999997,0,3,7,0
ZINCf50000008ADL,228.277,-0.4104000000000005,1,4,5,0
ZINCf50000008AE7,230.33299999999994,-0.16709999999999936,0,3,5,0
ZINCf50000008AEc,229.30099999999993,-0.2038000000000002,1,3,4,0
ZINCf50000008AEm,229.30099999999993,-0.20380000000000015,1,3,4,0
ZINCf50000008AEy,228.31699999999995,-0.27219999999999955,0,3,3,0
ZINCf50000008AEB,230.28899999999993,-0.8385999999999996,1,3,3,0
ZINCf50000008AEW,229.30099999999993,-0.06130000000000013,1,3,3,0
ZINCf50000008AFc,229.30099999999993,-0.2038000000000002,1,3,3,0
ZINCf50000008AFf,247.34099999999995,-0.45530000000000004,0,3,3,0
ZINCf50000008AFo,229.30099999999996,-0.20539999999999997,1,3,3,0
ZINCf50000008AFp,229.30099999999996,-0.3479000000000001,1,3,3,0
ZINCf50000008AFu,233.28899999999996,-0.1193000000000004,1,4,5,0
ZINCf50000008AG7,233.28899999999996,-0.1193000000000004,1,4,6,0
ZINCf50000008AGr,232.30499999999998,-0.560999999999999,2,4,5,0
ZINCf50000008AGy,236.26799999999994,-0.8573999999999995,2,4,6,0
ZINCf50000008AGL,230.28899999999993,-0.6629,2,3,5,0
ZINCf50000008AGM,230.28899999999996,-0.806999999999999,2,3,5,0
ZINCf50000008AGU,233.28899999999996,-0.11929999999999996,1,4,6,0
ZINCf50000008AH4,232.30499999999992,-0.4152999999999993,2,3,8,0
ZINCf50000008AHh,235.30499999999995,-0.6735000000000002,2,4,8,0
ZINCf50000008AHm,228.277,-0.7100999999999997,2,4,6,0
ZINCf50000008AHo,227.289,-0.17420000000000058,1,4,6,0
ZINCf50000008AHE,232.26099999999997,-0.9624999999999997,2,4,5,0
ZINCf50000008AHO,235.30499999999995,-0.6734999999999993,2,4,8,0
ZINCf50000008AHP,231.31699999999995,-0.052400000000000224,2,3,7,0
ZINCf50000008AI7,249.35699999999994,-0.2029000000000003,2,4,5,0
ZINCf50000008AIU,233.28899999999996,-0.9210999999999991,2,4,4,0
ZINCf50000008AIZ,233.28899999999993,-0.9195000000000002,2,4,5,0
ZINCf50000008AJ5,232.30499999999998,-0.5462999999999989,2,3,6,0
ZINCf50000008AJ7,232.30499999999998,-0.5462999999999989,2,3,6,0
ZINCf50000008AJG,210.23299999999995,-0.3468,2,4,5,0
ZINCf50000008AJH,209.24499999999995,-0.1439999999999999,2,3,5,0
ZINCf50000008AJW,211.26099999999997,-0.18610000000000015,3,3,6,0
ZINCf50000008AJZ,213.277,-0.1062000000000003,3,3,6,0
ZINCf50000008AK6,207.233,-0.0862,3,3,5,0
ZINCf50000008AKe,209.29299999999998,-0.05440000000000039,3,4,4,0
ZINCf50000008AKu,235.30499999999995,-0.6734999999999993,2,4,8,0
ZINCf50000008AKL,211.26099999999994,-0.35060000000000047,3,3,6,0
ZINCf50000008AKO,209.24499999999995,-0.1439999999999999,2,3,5,0
ZINCf50000008AKQ,213.23299999999995,-0.5599999999999998,2,4,6,0
ZINCf50000008AKS,212.24899999999997,-0.9869999999999994,3,3,6,0
ZINCf50000008AKY,213.27699999999996,-0.10459999999999997,3,3,7,0
ZINCf50000008ALj,211.26499999999996,-0.4166999999999996,2,5,5,0
ZINCf50000008ALv,208.26500000000001,-0.3210000000000002,2,5,6,0
ZINCf50000008ALw,208.26500000000001,-0.3210000000000004,2,5,6,0
ZINCf50000008AM3,206.205,-0.6030000000000002,0,6,5,0
ZINCf50000008AMa,210.237,-0.7522,1,6,7,0
ZINCf50000008AMg,207.23700000000002,-0.45410000000000017,1,5,4,0
ZINCf50000008AMj,208.221,-0.027100000000000346,0,6,5,0
ZINCf50000008AMm,207.23700000000002,-0.45410000000000017,1,5,4,0
ZINCf50000008AMr,206.20499999999998,-0.27310000000000034,0,6,3,0
ZINCf50000008AMz,228.277,-0.4482999999999999,0,5,4,0
ZINCf50000008AMG,226.30099999999996,-0.34819999999999984,0,3,2,0
ZINCf50000008AMH,206.24499999999995,-0.11080000000000045,1,2,3,0
ZINCf50000008AMU,210.23299999999995,-0.13070000000000004,0,4,4,0
ZINCf50000008AMY,232.30499999999998,-0.46479999999999877,1,3,5,0
