molecule_chembl_id,parent_molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id
CHEMBL5186680,CHEMBL5186680,COc1cc(N2CCC(N3CC(N(C)C)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.09,nM,10.05,CHEMBL5327353
CHEMBL5418539,CHEMBL5418539,COc1cc(N2CCC(N3C[C@H]4COC[C@H]4C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,IC50,=,0.09,nM,10.05,CHEMBL5327354
CHEMBL53428,CHEMBL53428,CN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,IC50,=,0.091,nM,10.04,CHEMBL680021
CHEMBL29197,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,IC50,=,0.095,nM,10.02,CHEMBL4231153
CHEMBL5798855,CHEMBL5798855,COCCOc1cnccc1-c1[nH]c2c(c1Nc1cc(F)cc(F)c1OC)C(=O)NCC2,IC50,=,0.097,nM,10.01,CHEMBL5738105
CHEMBL5282641,CHEMBL5282641,C=CC(=O)N1CCC(Oc2cc3c(Nc4ccc(Cl)c(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,IC50,=,0.097,nM,10.01,CHEMBL5255146
CHEMBL4784258,CHEMBL4784258,COc1cc(CN(C)CCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,IC50,=,0.1,nM,10.00,CHEMBL4718820
CHEMBL4748367,CHEMBL4748367,CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1F,IC50,=,0.1,nM,10.00,CHEMBL4718820
CHEMBL4742081,CHEMBL4742081,COc1cc(CNCCN2CCNCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,IC50,=,0.1,nM,10.00,CHEMBL4718820
CHEMBL4778248,CHEMBL4778248,COc1cc(CNCCN2CCCCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,IC50,=,0.1,nM,10.00,CHEMBL4718820
CHEMBL4787951,CHEMBL4787951,COc1cc(CNCCN2CCOCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,IC50,=,0.1,nM,10.00,CHEMBL4718820
CHEMBL420624,CHEMBL420624,Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,IC50,=,0.1,nM,10.00,CHEMBL677387
CHEMBL5201543,CHEMBL5201543,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)cc2)CC1,IC50,=,0.1,nM,10.00,CHEMBL5147203
CHEMBL6162078,CHEMBL6162078,COc1cc(N2CCC(N3CCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc(C)cc2P(C)(C)=O)n1,IC50,=,0.1,nM,10.00,CHEMBL6115826
