name,molecule_chembl_id,smiles,max_phase,best_pchembl,best_standard_nM,activity_types,source,zinc_id,replicate
,,CSc1ccnc(N2CCC[C@@H]2CN(C)C(=O)c2ccncc2N)n1,,,,,,ZINCpp00001BP6K0,1
,,CC1=CN(CC2=CC(C(=O)NC(C)C3=NNC=N3)=NO2)N=C1,,,,,,ZINCme00000fJQ75,1
,,CC[C@H](C)C[C@H](C)C(=O)N(C)CCN(C(=O)[C@@H](C)CN(C)C)C(C)C,,,,,,ZINCpz000005RHfO,1
,,CC(C)NC(=O)C(=O)N[C@@H](C)CNC(=O)CC(C)NC(N)=O,,,,,,ZINCm400000fJPJ9,1
,,CCc1ncc(S(=O)(=O)N[C@H]2C[C@@H](NC(=O)C[C@H](C)CC)C2)o1,,,,,,ZINCnl00001A1dJq,1
,,CCc1ncc(S(=O)(=O)N[C@@H](C)CNC(=O)[C@H](C)OC(C)=O)s1,,,,,,ZINCna00001A1dK3,1
,,CSc1ccnc(N2CCC[C@@H](NC(=O)CCOC3COC3)CC2)n1,,,,,,ZINCpk00001BP6K6,1
,,CCc1ncc(S(=O)(=O)N[C@H](C)CNC(=O)c2ccn(C)c2)s1,,,,,,ZINCnh00001A1dJR,1
,,Cc1cccc(Cl)c1CNS(=O)(=O)c1cc(Cl)cnc1O,,,,,,ZINCly00000nlpon,1
,,COC[C@@H](C)C(=O)N1CC=C[C@H]1C(=O)N(C)CCc1ncccn1,,,,,,ZINCob00000HT9HQ,1
,,Cc1ccc(C#N)cc1NC(=O)C#CCNC(=O)c1n[nH]c(=N)[nH]1,,,,,,ZINCo500000HFAhm,1
,,Cc1cc(=NC(=O)C(=O)N2C[C@@H]3COC[C@@H]3O2)[nH]o1,,,,,,ZINCj500000AivMh,1
,,CCc1ncc(S(=O)(=O)N[C@H](C)CN(C)C(=O)[C@@H]2C[C@H]2Cl)n1C,,,,,,ZINCnd00001A1dJP,1
,,CCC[C@H](CC1CCCC1)C(=O)NC/C=C\CNC(=O)C1(C)COC1,,,,,,ZINCpy00000oyTiZ,1
,,Cc1cccc(Cl)c1C(=O)NC1(c2ncc(Br)cn2)CC1,,,,,,ZINClG00000nlpot,1
,,Cc1nocc1C(=O)Nc1ccc(C(=O)N2CCO[C@@H](C)C2)nc1,,,,,,ZINCok00000opcNv,1
,,CCN1CC[C@H]1CNC(=O)C#CC(C)(C)CNC(=O)[C@@H]1CCCOC1,,,,,,ZINCpd000015Me0a,1
,,CCN1CC[C@@H]1CNC(=O)CC(C)(C)CNC(=O)c1cnnc(O)c1,,,,,,ZINCp7000015Me0d,1
,,CCN(CCNC(=O)C1CC1C)C(=O)C1=C(C)N=CN=C1C,,,,,,ZINCmj00000fJPNi,1
,,COC1(CCN=c2ncnc(N[C@H]3CCCN(C4CC4)C3)[nH]2)CCC1,,,,,,ZINCps00000CF5qY,1
,,CCc1ncc(S(=O)(=O)N[C@H](C)CNC(=O)Cc2ccsc2)o1,,,,,,ZINCnj00001A1dJU,1
,,CSC1CC(N(C)C(=O)[C@@H](Cn2cccn2)NC(=O)[C@H]2CC[C@H]2C)C1,,,,,,ZINCpn00001BP6Jv,1
,,CC#CCCCC(=O)NC(C)(C)CN(C)C(=O)[C@@H]1CC[C@@H]2[C@H]1C2(F)F,,,,,,ZINCpy00000oyT9d,1
,,C[C@H](NC(=O)[C@@H]1C[C@]1(F)Cl)[C@@H]1C[C@H]1C(=O)NOCC1(C)CCC1,,,,,,ZINCns00000r2mEE,1
,,CCc1ncc(S(=O)(=O)N[C@H](C)CCCNC(=O)CC(Cl)Cl)o1,,,,,,ZINCnp00001A1dJy,1
,,CSc1ccnc(N2CCC[C@H](CNC(=O)C#C[C@@H]3CCOC3)C2)n1,,,,,,ZINCpl00001BP6K3,1
,,CSC1CC(N(C)C(=O)[C@@H](C(C)C)[C@@H](C)NC(=O)[C@@H](C)NC(C)=O)C1,,,,,,ZINCpm00001BP6Jt,1
,,CCN(CCCNC(=O)CC(Cl)Cl)C(=O)c1[nH]ccc1C1CC1,,,,,,ZINCnA00000llsti,1
,,CN(CCNC(=O)C1=CC(O)=NN1C)C(=O)CC1CC1(Cl)Cl,,,,,,ZINCme00000fJP9O,1
,,C=CC1CC(N=c2[nH]c(=NCCNC(=O)CC)[nH]c3c2COC3)C1,,,,,,ZINCoo00000t6fIK,1
,,CCN1CC[C@@H]1CNC(=O)CCCCCNC(=O)CCC(=O)N(C)C,,,,,,ZINCpd000015Me0e,1
,,CCN1CC[C@H]1CNC(=O)CC1(NC(=O)Cc2cc(C)n(C)n2)CC1,,,,,,ZINCpb000015Me02,1
,,C=CC1CC(N=c2[nH]c(=N)[nH]c(=NCc3cnc(O)c(F)c3)[nH]2)C1,,,,,,ZINCom00000t6fIP,1
,,Fc1cc(C(F)F)ccc1CNc1cc(C(F)F)nc2ncnn12,,,,,,ZINCoH00000kov2y,1
,,Cc1cc(=NC(=O)N2CC[C@@H]3[C@@H](O)C[C@@H]32)cc(C)[nH]1,,,,,,ZINCjm00000AivMw,1
,,C=C1CC(C(=O)NCC[C@@H]2CCCN(C(=O)c3cc(O)cs3)C2)C1,,,,,,ZINCox0000027Kuy,1
,,Cc1nocc1C(=O)NC12CCC(NC(=O)C(=O)C(C)C)(CC1)C2,,,,,,ZINCol00000opcNu,1
